timestep,wind_available_mw,curtailment_mw,power_optimized_mw,online_status,electricity_price,h2_produced_kg_h,h2_demand_kg_h,demand_slack_kg_h,demand_met,cost_eur,grid_import_mw,grid_export_mw,storage_level_kg,storage_charge_kg_h,storage_discharge_kg_h
3952,105.72521418026679,0.0,100.0,1,40.000000000000206,2108.6108610861083,2083.3333333333335,0.0,True,3770.9914327893475,0.0,5.725214180266789,593.308232928603,25.277527752774915,0.0
3953,106.22188004080252,0.0,100.0,1,44.82361909794888,2108.6108610861083,2083.3333333333335,0.0,True,4203.474728772825,0.0,6.221880040802517,618.5264298580851,25.277527752774887,0.0
3954,103.8334183091571,0.0,100.0,1,49.9999999999983,2108.6108610861083,2083.3333333333335,0.0,True,4808.3290845419815,0.0,3.8334183091570964,643.7421049678744,25.27752775277517,0.0
3955,109.29767842568226,0.0,100.0,1,55.17638090205224,2108.6108610861083,2083.3333333333335,0.0,True,5004.625843884985,0.0,9.297678425682264,668.9552585101527,25.277527752775086,0.0
3956,120.07539388987266,0.0,100.0,1,59.99999999999686,2108.6108610861083,2083.3333333333335,0.0,True,4795.4763666073895,0.0,20.075393889872657,694.1658907370768,25.277527752775086,0.0
3957,121.48647152055942,0.0,100.0,1,64.14213562373092,2108.6108610861083,2083.3333333333335,0.0,True,5036.025392025937,0.0,21.48647152055942,719.3740019007782,25.277527752775143,0.0
3958,95.3143676066106,0.0,100.0,1,67.32050807568827,2108.6108610861083,2083.3333333333335,0.0,True,7047.489960947704,4.6856323933893975,0.0,744.5795922533633,25.277527752775157,0.0
3959,88.16579129389916,0.0,100.0,1,69.31851652578085,2108.6108610861083,2083.3333333333335,0.0,True,7752.181444341476,11.834208706100839,0.0,769.782662046913,25.27752775277503,0.0
3960,76.70954204429488,0.0,100.0,1,70.0,2108.6108610861083,2083.3333333333335,0.0,True,8630.332056899359,23.290457955705122,0.0,794.9832115334832,25.277527752774972,0.0
3961,62.997728853825116,0.0,100.0,1,69.3185165257812,2108.6108610861083,2083.3333333333335,0.0,True,9496.794196515682,37.002271146174884,0.0,820.1812409651051,25.2775277527752,0.0
3962,55.23203163691001,0.0,100.0,1,67.32050807568893,2108.6108610861083,2083.3333333333335,0.0,True,9745.85318328848,44.76796836308999,0.0,845.3767505937838,25.2775277527752,0.0
3963,45.25898626205946,0.0,95.25898626205947,1,64.14213562373186,2008.64133048231,2083.3333333333335,0.0,False,9317.221597386822,50.00000000000001,0.0,770.6002100677009,0.0,74.69200285102352
3964,33.198051138921905,0.0,83.1980511389219,1,60.000000000001954,1754.323142527282,2083.3333333333335,0.0,False,7991.883068335574,49.99999999999999,0.0,441.51295924064266,0.0,329.01019080605147
3965,21.844745864252467,0.0,71.84474586425247,1,55.17638090204913,1514.9261144133404,2083.3333333333335,126.93841097527445,False,6722.952108719371,50.00000000000001,0.0,0.0,0.0,441.4688079447186
3966,12.364469056487248,0.0,62.36446905648725,1,49.99999999999964,1315.0239679837755,2083.3333333333335,768.309365349558,False,5618.223452824322,50.0,0.0,0.0,0.0,-0.0
3967,9.820408027405346,0.0,59.82040802740535,1,44.823619097950164,1261.3796208118956,2083.3333333333335,821.9537125214379,False,4922.5481386018855,50.0,0.0,0.0,0.0,-0.0
3968,14.438799738584667,0.0,64.43879973858466,1,40.00000000000136,1358.763530041323,2083.3333333333335,724.5698032920104,False,4577.551989543542,50.0,0.0,0.0,0.0,-0.0
3969,17.476393029436288,0.0,67.47639302943628,1,35.85786437627084,1422.8145520878434,2083.3333333333335,660.5187812454901,False,4212.452568663015,49.99999999999999,0.0,0.0,0.0,-0.0
3970,8.559307547440081,0.0,58.559307547440085,1,32.6794919243107,1234.7879191221389,2083.3333333333335,848.5454142111946,False,3547.6630143053303,50.0,0.0,0.0,0.0,-0.0
3971,9.307984843996337,0.0,59.30798484399634,1,30.681483474218613,1250.5746099118098,2083.3333333333335,832.7587234215237,False,3353.731130591212,50.0,0.0,0.0,0.0,-0.0
3972,11.697762876819821,0.0,61.69776287681982,1,30.0,1300.9657290677758,2083.3333333333335,782.3676042655577,False,3350.932886304595,50.0,0.0,0.0,0.0,-0.0
3973,15.468251954260644,0.0,65.46825195426064,1,30.681483474218155,1380.4706712707582,2083.3333333333335,702.8626620625753,False,3542.7372641315055,49.99999999999999,0.0,0.0,0.0,-0.0
3974,25.73255337495109,0.0,75.7325533749511,1,32.67949192430982,1596.904845842053,2083.3333333333335,486.4284874912805,False,4108.875962639568,50.0,0.0,0.0,0.0,-0.0
3975,39.04117917955409,0.0,89.04117917955409,1,35.85786437626959,1877.5319750192205,2083.3333333333335,205.80135831411303,False,4985.719745737049,50.0,0.0,0.0,0.0,-0.0
3976,40.00326945493844,0.0,90.00326945493845,1,39.99999999999983,1897.818715059428,2083.3333333333335,185.5146182739054,False,5600.130778197514,50.00000000000001,0.0,0.0,0.0,-0.0
3977,29.823586685088383,0.0,79.82358668508839,1,44.823619097948466,1683.1688185502585,2083.3333333333335,400.164514783075,False,5819.162999501896,50.0,0.0,0.0,0.0,-0.0
3978,22.38757358844445,0.0,72.38757358844445,1,49.999999999997875,1526.3722387626392,2083.3333333333335,556.9610945706943,False,6119.378679421963,50.0,0.0,0.0,0.0,-0.0
3979,22.72676500787007,0.0,72.72676500787007,1,55.17638090204743,1533.5244658725198,2083.3333333333335,549.8088674608136,False,6771.618732950305,50.0,0.0,0.0,0.0,-0.0
3980,23.60676306741837,0.0,73.60676306741837,1,60.000000000000426,1552.0802005335022,2083.3333333333335,531.2531327998313,False,7416.405784045155,50.0,0.0,0.0,0.0,-0.0
3981,23.12284552589165,0.0,73.12284552589165,1,64.14213562373061,1541.8762626941689,2083.3333333333335,541.4570706391646,False,7897.362256101375,50.0,0.0,0.0,0.0,-0.0
3982,16.66456319025053,0.0,66.66456319025053,1,67.32050807568805,1405.6962199252348,2083.3333333333335,677.6371134080987,False,7853.91766839588,50.0,0.0,0.0,0.0,-0.0
3983,14.06716620830372,0.0,64.06716620830372,1,69.31851652578192,1350.9272250583813,2083.3333333333335,732.4061082749522,False,7906.966745859414,50.0,0.0,0.0,0.0,-0.0
3984,11.883996888862209,0.0,61.88399688886221,1,70.0,1304.892679672738,2083.3333333333335,778.4406536605954,False,7831.879782220354,50.0,0.0,0.0,0.0,-0.0
3985,11.55495306930624,0.0,61.55495306930624,1,69.31851652578132,1297.9544259558481,2083.3333333333335,785.3789073774853,False,7732.8238578674645,50.0,0.0,0.0,0.0,-0.0
3986,15.587829338924951,0.0,65.58782933892495,1,67.32050807568915,1382.9920929911927,2083.3333333333335,700.3412403421407,False,7781.431398462477,50.0,0.0,0.0,0.0,-0.0
3987,18.621583389404513,0.0,68.62158338940452,1,64.14213562373217,1446.9621603982448,2083.3333333333335,636.3711729350887,False,7608.641689665041,50.00000000000001,0.0,0.0,0.0,-0.0
3988,19.378627054276382,0.0,69.37862705427638,1,59.99999999999839,1462.9252653388971,2083.3333333333335,620.4080679944364,False,7162.717623256391,50.0,0.0,0.0,0.0,-0.0
3989,15.757164183630557,0.0,65.75716418363055,1,55.17638090205394,1386.5627059182584,2083.3333333333335,696.7706274150751,False,6387.061383137595,49.99999999999999,0.0,0.0,0.0,-0.0
3990,9.646217678119024,0.0,59.64621767811902,1,50.00000000000007,1257.7066241878802,2083.3333333333335,825.6267091454533,False,5482.310883905959,50.0,0.0,0.0,0.0,-0.0
3991,6.903063220987852,0.0,56.90306322098785,1,44.82361909795058,1199.8641713684447,2083.3333333333335,883.4691619648888,False,4791.78218622169,50.0,0.0,0.0,0.0,-0.0
3992,3.5504440663208148,0.0,53.550444066320814,1,40.000000000001734,1129.1704797422822,2083.3333333333335,954.1628535910513,False,4142.017762653012,50.0,0.0,0.0,0.0,-0.0
